Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2019131901350,443576.0,438198.0,-1.3392879999999998,53.83823100000001,13,2,4,1,9,6,14,204,E08000035,2,1,3,70,0,-1,0,0,0,0,1,2,2,0,0,2,1,E01011309
20191358F1730,436147.0,434957.0,-1.452556,53.80967,13,3,2,7,8,5,18,204,E08000035,3,6120,3,40,0,-1,0,0,0,0,1,1,1,0,0,1,2,E01011666
2019136111190,435904.0,425850.0,-1.4573,53.727837,13,3,2,1,1,3,10,204,E08000035,3,642,3,70,1,4,1,62,0,0,1,1,1,0,0,2,1,E01011636
2019136111674,423194.0,438111.0,-1.6490189999999998,53.838752,13,3,1,1,1,3,15,204,E08000035,6,0,6,20,0,-1,0,0,0,0,1,1,1,0,0,1,1,E01011461
2019136111836,429149.0,431736.0,-1.5591270000000002,53.781158,13,2,2,1,1,3,16,204,E08000035,6,0,6,30,9,4,6,0,0,0,4,1,1,0,0,1,1,E01011366
2019136120357,428760.0,432723.0,-1.564938,53.79005,13,2,2,1,1,4,09,204,E08000035,3,58,6,30,1,4,6,0,0,0,1,1,1,0,0,1,1,E01033013
2019136121501,431451.0,435823.0,-1.523778,53.81775699999999,13,3,1,1,1,4,19,204,E08000035,6,0,6,30,6,4,6,0,0,1,4,1,1,0,0,1,1,E01011359
2019136130451,427555.0,433891.0,-1.583124,53.800613,13,3,2,1,1,5,09,204,E08000035,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01011284
2019136130492,420066.0,445481.0,-1.696073,53.905120999999994,13,2,2,2,1,5,10,204,E08000035,6,0,6,30,0,-1,0,0,0,0,1,1,1,0,0,1,1,E01011569
2019136130581,427140.0,437363.0,-1.58912,53.83184,13,3,3,3,1,5,11,204,E08000035,3,660,6,30,0,-1,0,0,0,0,1,1,1,0,0,1,1,E01011690
2019136140252,430783.0,438603.0,-1.533647,53.84278199999999,13,3,2,2,1,6,07,204,E08000035,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01011512
2019136141399,420015.0,445436.0,-1.696852,53.904718,13,2,2,1,1,6,17,204,E08000035,3,659,6,30,0,-1,0,0,0,0,4,1,1,0,0,1,1,E01011569
2019136170679,432347.0,430836.0,-1.5106899999999999,53.772881000000005,13,3,2,1,1,2,03,204,E08000035,6,0,6,30,3,4,6,0,0,0,6,1,1,0,0,1,2,E01011470
2019136170725,422786.0,434721.0,-1.6554689999999999,53.808302000000005,13,3,1,1,1,2,12,204,E08000035,4,6157,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01011335
2019136170834,434118.0,445048.0,-1.482251,53.900498999999996,13,3,2,1,1,2,14,204,E08000035,6,0,6,60,9,4,6,0,0,0,1,5,2,0,0,2,1,E01011708
2019136171024,425491.0,432085.0,-1.614609,53.784485,13,2,1,1,1,2,-1,204,E08000035,6,0,6,30,0,-1,0,0,0,0,1,1,1,0,0,1,1,E01011735
