Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,Vehicle_IMD_Decile
2019131901350,1,21,1,11,0,0,0,0,0,0,1,1,1,1,39,7,12419,2,3,1,1,1
2019131901350,2,21,0,4,0,0,0,0,0,0,2,1,1,1,56,9,6374,2,5,2,1,2
2019131901350,3,21,1,4,0,0,0,0,0,0,2,1,1,1,40,7,10837,2,2,4,1,4
2019131901350,4,21,1,4,0,0,0,0,0,0,2,2,1,1,35,6,-1,-1,-1,-1,-1,-1
20191358F1730,1,9,0,18,0,0,0,0,0,0,0,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
20191358F1730,2,11,0,18,0,0,0,0,0,0,0,1,1,1,36,7,-1,-1,-1,6,1,6
2019136111190,1,9,0,18,0,8,0,0,0,0,1,1,6,1,48,8,1686,2,15,7,1,7
2019136111190,2,1,0,18,0,8,0,0,0,0,4,1,6,1,54,8,-1,-1,-1,5,-1,5
2019136111674,1,9,0,18,0,0,0,0,0,0,3,1,6,1,63,9,998,1,5,7,1,7
2019136111836,1,9,0,9,0,1,0,0,0,0,1,1,1,1,51,8,1598,2,7,-1,-1,-1
2019136111836,2,1,0,18,0,1,0,0,0,0,1,1,6,1,45,7,-1,-1,-1,1,1,1
2019136120357,1,19,0,5,0,4,0,0,0,0,1,1,1,1,33,6,-1,3,3,1,1,1
2019136120357,2,1,0,18,0,8,0,0,0,0,4,1,2,1,44,7,-1,-1,-1,1,1,1
2019136121501,1,9,0,18,0,2,0,0,0,0,0,1,6,1,43,7,1896,2,13,1,1,1
2019136130451,1,9,0,9,0,8,0,0,0,0,1,1,6,1,60,9,1598,1,16,3,1,3
2019136130451,2,9,0,18,0,8,0,0,0,0,3,1,6,2,38,7,-1,-1,-1,3,1,3
2019136130492,1,5,0,13,0,0,1,0,0,0,4,1,6,1,35,6,798,1,4,10,2,10
2019136130492,2,17,4,18,0,0,0,0,0,0,3,1,1,1,23,5,6596,2,2,10,2,10
2019136130581,1,9,0,4,0,0,0,0,0,0,1,1,6,1,51,8,-1,-1,-1,6,3,6
2019136130581,2,19,0,3,0,0,0,0,0,0,2,1,1,1,28,6,-1,-1,-1,4,1,4
2019136130581,3,9,0,3,0,0,0,0,0,0,2,1,6,2,46,8,1968,2,6,6,3,6
2019136140252,1,9,0,18,0,1,0,0,0,0,1,1,6,1,69,10,-1,-1,-1,7,3,7
2019136140252,2,9,0,18,0,1,0,0,0,0,1,1,6,1,61,9,1995,2,3,9,1,9
2019136141399,1,3,0,18,0,0,0,0,0,0,1,1,6,1,20,4,125,1,1,7,1,7
2019136141399,2,9,0,9,0,0,0,0,0,0,3,1,6,1,23,5,1560,2,14,7,1,7
2019136170679,1,9,0,4,0,1,0,0,0,0,1,1,1,1,52,8,1998,2,11,9,1,9
2019136170679,2,1,0,18,0,1,0,0,0,0,1,1,1,1,25,5,-1,-1,-1,5,1,5
2019136170725,1,9,0,1,0,8,0,0,0,0,2,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
2019136170834,1,9,0,13,0,8,0,0,7,0,1,1,6,1,58,9,999,1,1,7,1,7
2019136170834,2,9,0,9,0,8,0,0,7,0,3,1,6,1,39,7,-1,-1,-1,10,1,10
2019136171024,1,8,0,18,0,0,0,0,0,0,3,1,1,1,37,7,1997,2,5,2,1,2
2019136171334,1,9,0,18,0,1,0,0,0,0,4,1,6,1,30,6,1999,2,-1,9,1,9
2019136180248,1,9,0,18,0,8,0,0,0,0,3,1,2,1,22,5,1995,2,14,1,1,1
2019136180248,2,1,0,18,0,8,0,0,0,0,1,1,2,1,32,6,-1,-1,-1,4,1,4
2019136180290,1,9,0,17,0,0,5,0,1,11,4,1,6,2,58,9,1999,2,1,10,2,10
2019136180639,1,8,0,18,0,1,0,0,0,0,1,1,1,1,32,6,1798,8,2,1,1,1
2019136180639,2,9,0,18,0,1,0,0,1,10,1,1,2,2,39,7,1461,2,4,2,1,2
2019136181012,1,1,0,5,2,0,0,0,0,0,0,1,6,1,-1,-1,-1,-1,-1,-1,-1,-1
2019136181012,2,11,0,18,2,0,0,0,0,0,0,1,1,1,57,9,7300,2,11,3,1,3
2019136181312,1,9,0,9,0,5,0,0,0,0,1,1,2,1,56,9,1796,1,13,8,1,8
2019136191325,1,9,0,18,0,8,0,0,0,0,4,1,2,2,50,8,1968,2,10,3,1,3
2019136191325,2,1,0,18,0,8,0,0,0,0,1,1,2,1,39,7,-1,-1,-1,10,1,10
2019136191450,1,9,0,18,0,0,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
2019136191450,2,9,0,3,0,0,0,0,0,0,2,1,6,1,29,6,1896,2,11,1,1,1
20191361A0359,1,9,0,18,0,0,0,0,0,0,1,1,6,2,35,6,1149,1,15,1,1,1
